st,ag_dist,cnty,num_owp,cv,id,lat,lon
Arizona,SOUTHERN,Cochise,8,62.7,AZ,31.881793,–109.754120
Arizona,SOUTHERN,Graham,2,62.7,AZ,32.931828,–109.878310
Arizona,SOUTHERN,La Paz,3,62.7,AZ,33.727625,–114.038793
Arizona,SOUTHERN,Maricopa,52,62.7,AZ,33.346541,–112.495534
Arizona,SOUTHERN,Pima,17,62.7,AZ,32.128237,–111.783018
Arizona,SOUTHERN,Pinal,18,62.7,AZ,32.91891,–111.367257
Arizona,SOUTHERN,Santa Cruz,5,62.7,AZ,31.525904,–110.845190
Arizona,SOUTHERN,Yuma,9,62.7,AZ,32.773942,–113.910905
Arkansas,CENTRAL,Conway,10,99.95,AR,35.265702,–92.689248
Arkansas,CENTRAL,Faulkner,17,99.95,AR,35.146356,–92.324654
Arkansas,CENTRAL,Garland,11,99.95,AR,34.578861,–93.146915
Arkansas,CENTRAL,Hot Spring,11,99.95,AR,34.315177,–92.944147
Arkansas,CENTRAL,Perry,3,99.95,AR,34.946363,–92.926877
Arkansas,CENTRAL,Pulaski,9,99.95,AR,34.773988,–92.316515
Arkansas,CENTRAL,Saline,10,99.95,AR,34.648525,–92.674463
Arkansas,EAST CENTRAL,Arkansas,2,99.95,AR,34.289574,–91.376547
Arkansas,EAST CENTRAL,Crittenden,7,99.95,AR,35.211878,–90.315331
Arkansas,EAST CENTRAL,Cross,1,99.95,AR,35.291259,–90.773894
Arkansas,EAST CENTRAL,Lonoke,9,99.95,AR,34.755114,–91.894132
Arkansas,EAST CENTRAL,Prairie,1,99.95,AR,34.828225,–91.557200
Arkansas,EAST CENTRAL,Woodruff,1,99.95,AR,35.189071,–91.244418
Arkansas,NORTH CENTRAL,Baxter,7,99.95,AR,36.28071,–92.330438
Arkansas,NORTH CENTRAL,Cleburne,7,99.95,AR,35.566288,–92.059974
Arkansas,NORTH CENTRAL,Fulton,20,99.95,AR,36.383443,–91.819239
Arkansas,NORTH CENTRAL,Izard,4,99.95,AR,36.094879,–91.913625
Arkansas,NORTH CENTRAL,Marion,18,99.95,AR,36.266656,–92.678588
Arkansas,NORTH CENTRAL,Searcy,5,99.95,AR,35.90966,–92.699351
Arkansas,NORTH CENTRAL,Sharp,6,99.95,AR,36.173399,–91.471069
Arkansas,NORTH CENTRAL,Stone,6,99.95,AR,35.856989,–92.140494
Arkansas,NORTH CENTRAL,Van Buren,3,99.95,AR,35.582959,–92.515977
Arkansas,NORTHEAST,Clay,6,99.95,AR,36.367302,–90.418704
Arkansas,NORTHEAST,Craighead,8,99.95,AR,35.828268,–90.630411
Arkansas,NORTHEAST,Greene,3,99.95,AR,36.119922,–90.565241
Arkansas,NORTHEAST,Independence,7,99.95,AR,35.737499,–91.559942
Arkansas,NORTHEAST,Jackson,2,99.95,AR,35.596605,–91.223178
Arkansas,NORTHEAST,Lawrence,8,99.95,AR,36.041098,–91.101153
Arkansas,NORTHEAST,Mississippi,2,99.95,AR,35.766943,–90.052209
Arkansas,NORTHEAST,Poinsett,2,99.95,AR,35.568981,–90.680595
Arkansas,NORTHEAST,Randolph,12,99.95,AR,36.341299,–91.028441
Arkansas,NORTHEAST,White,9,99.95,AR,35.254722,–91.753158
Arkansas,NORTHWEST,Benton,33,99.95,AR,36.337825,–94.256187
Arkansas,NORTHWEST,Boone,15,99.95,AR,36.304308,–93.079204
Arkansas,NORTHWEST,Carroll,12,99.95,AR,36.337774,–93.541663
Arkansas,NORTHWEST,Madison,27,99.95,AR,36.012545,–93.724053
Arkansas,NORTHWEST,Newton,2,99.95,AR,35.910063,–93.215084
Arkansas,NORTHWEST,Washington,40,99.95,AR,35.971209,–94.218417
Arkansas,SOUTH CENTRAL,Bradley,3,99.95,AR,33.463819,–92.168164
Arkansas,SOUTH CENTRAL,Calhoun,1,99.95,AR,33.56046,–92.513879
Arkansas,SOUTH CENTRAL,Clark,6,99.95,AR,34.053312,–93.176205
Arkansas,SOUTH CENTRAL,Cleveland,1,99.95,AR,33.893201,–92.188714
Arkansas,SOUTH CENTRAL,Columbia,3,99.95,AR,33.21507,–93.226901
Arkansas,SOUTH CENTRAL,Nevada,14,99.95,AR,33.666699,–93.305072
Arkansas,SOUTH CENTRAL,Union,2,99.95,AR,33.168219,–92.598145
Arkansas,SOUTHEAST,Ashley,6,99.95,AR,33.190835,–91.772267
Arkansas,SOUTHEAST,Chicot,3,99.95,AR,33.267139,–91.297158
Arkansas,SOUTHEAST,Desha,1,99.95,AR,33.828748,–91.244427
Arkansas,SOUTHEAST,Drew,2,99.95,AR,33.587242,–91.722778
Arkansas,SOUTHEAST,Lincoln,3,99.95,AR,33.957665,–91.727624
Arkansas,SOUTHWEST,Hempstead,9,99.95,AR,33.728611,–93.665809
Arkansas,SOUTHWEST,Howard,8,99.95,AR,34.083179,–93.990988
Arkansas,SOUTHWEST,Little River,1,99.95,AR,33.699497,–94.229774
Arkansas,SOUTHWEST,Miller,14,99.95,AR,33.305505,–93.901509
Arkansas,SOUTHWEST,Montgomery,10,99.95,AR,34.545652,–93.664147
Arkansas,SOUTHWEST,Pike,2,99.95,AR,34.158191,–93.658659
Arkansas,SOUTHWEST,Sevier,2,99.95,AR,33.994608,–94.243290
Arkansas,WEST CENTRAL,Crawford,14,99.95,AR,35.583041,–94.236224
Arkansas,WEST CENTRAL,Franklin,14,99.95,AR,35.508573,–93.887672
Arkansas,WEST CENTRAL,Johnson,12,99.95,AR,35.573359,–93.466322
Arkansas,WEST CENTRAL,Logan,13,99.95,AR,35.21855,–93.720563
Arkansas,WEST CENTRAL,Polk,11,99.95,AR,34.490915,–94.230884
Arkansas,WEST CENTRAL,Pope,15,99.95,AR,35.455297,–93.031535
Arkansas,WEST CENTRAL,Scott,2,99.95,AR,34.858869,–94.063641
Arkansas,WEST CENTRAL,Sebastian,21,99.95,AR,35.196981,–94.274989
Arkansas,WEST CENTRAL,Yell,16,99.95,AR,34.997713,–93.408303
California,CENTRAL COAST,Alameda,16,73.2,CA,37.648081,–121.913304
California,CENTRAL COAST,Contra Costa,19,73.2,CA,37.919479,–121.951543
California,CENTRAL COAST,Lake,9,73.2,CA,39.094802,–122.746757
California,CENTRAL COAST,Marin,32,73.2,CA,38.051817,–122.745974
California,CENTRAL COAST,Monterey,7,73.2,CA,36.240107,–121.315573
California,CENTRAL COAST,Napa,47,73.2,CA,38.507351,–122.325995
California,CENTRAL COAST,San Benito,4,73.2,CA,36.610702,–121.085296
California,CENTRAL COAST,San Francisco,2,73.2,CA,37.727239,–123.032229
California,CENTRAL COAST,San Luis Obispo,11,73.2,CA,35.385227,–120.447540
California,CENTRAL COAST,San Mateo,21,73.2,CA,37.414664,–122.371542
California,CENTRAL COAST,Santa Clara,27,73.2,CA,37.220777,–121.690622
California,CENTRAL COAST,Santa Cruz,14,73.2,CA,37.012488,–122.007205
California,CENTRAL COAST,Sonoma,131,73.2,CA,38.532574,–122.945194
California,NORTHEAST,Lassen,4,73.2,CA,40.721089,–120.629931
California,NORTHEAST,Modoc,6,73.2,CA,41.592919,–120.718370
California,NORTHEAST,Plumas,6,73.2,CA,39.99517,–120.829516
California,NORTHERN COAST,Humboldt,25,73.2,CA,40.706673,–123.925818
California,NORTHERN COAST,Mendocino,14,73.2,CA,39.432388,–123.442881
California,SACRAMENTO VALLEY,Butte,15,73.2,CA,39.665959,–121.601919
California,SACRAMENTO VALLEY,Colusa,5,73.2,CA,39.177739,–122.237563
California,SACRAMENTO VALLEY,Glenn,4,73.2,CA,39.602546,–122.401700
California,SACRAMENTO VALLEY,Sacramento,41,73.2,CA,38.450011,–121.340441
California,SACRAMENTO VALLEY,Solano,19,73.2,CA,38.267226,–121.939594
California,SACRAMENTO VALLEY,Sutter,17,73.2,CA,39.035257,–121.702758
California,SACRAMENTO VALLEY,Tehama,11,73.2,CA,40.126156,–122.232276
California,SACRAMENTO VALLEY,Yolo,24,73.2,CA,38.679268,–121.903178
California,SACRAMENTO VALLEY,Yuba,16,73.2,CA,39.270026,–121.344280
California,SAN JOAQUIN VALLEY,Fresno,33,73.2,CA,36.761006,–119.655019
California,SAN JOAQUIN VALLEY,Kern,21,73.2,CA,35.346629,–118.729506
California,SAN JOAQUIN VALLEY,Kings,15,73.2,CA,36.072478,–119.815530
California,SAN JOAQUIN VALLEY,Madera,15,73.2,CA,37.210039,–119.749852
California,SAN JOAQUIN VALLEY,Merced,43,73.2,CA,37.194806,–120.722802
California,SAN JOAQUIN VALLEY,San Joaquin,20,73.2,CA,37.935034,–121.272237
California,SAN JOAQUIN VALLEY,Stanislaus,38,73.2,CA,37.562384,–121.002656
California,SAN JOAQUIN VALLEY,Tulare,39,73.2,CA,36.230453,–118.780542
California,SIERRA MOUNTAINS,Alpine,2,73.2,CA,38.61761,–119.798999
California,SIERRA MOUNTAINS,Amador,5,73.2,CA,38.44355,–120.653856
California,SIERRA MOUNTAINS,Calaveras,25,73.2,CA,38.187844,–120.555115
California,SIERRA MOUNTAINS,El Dorado,56,73.2,CA,38.785532,–120.534398
California,SIERRA MOUNTAINS,Inyo,1,73.2,CA,36.561977,–117.403927
California,SIERRA MOUNTAINS,Mariposa,1,73.2,CA,37.570034,–119.912860
California,SIERRA MOUNTAINS,Nevada,44,73.2,CA,39.295191,–120.773446
California,SIERRA MOUNTAINS,Placer,24,73.2,CA,39.062032,–120.722718
California,SIERRA MOUNTAINS,Tuolumne,17,73.2,CA,38.021451,–119.964708
California,SISKIYOU-SHASTA,Shasta,19,73.2,CA,40.760522,–122.043550
California,SISKIYOU-SHASTA,Siskiyou,21,73.2,CA,41.587986,–122.533287
California,SISKIYOU-SHASTA,Trinity,7,73.2,CA,40.647724,–123.114404
California,SOUTHERN CALIFORNIA,Imperial,17,73.2,CA,33.040816,–115.355395
California,SOUTHERN CALIFORNIA,Los Angeles,33,73.2,CA,34.196398,–118.261862
California,SOUTHERN CALIFORNIA,Orange,7,73.2,CA,33.675687,–117.777207
California,SOUTHERN CALIFORNIA,Riverside,52,73.2,CA,33.729828,–116.002239
California,SOUTHERN CALIFORNIA,San Bernardino,15,73.2,CA,34.85722,–116.181197
California,SOUTHERN CALIFORNIA,San Diego,63,73.2,CA,33.023604,–116.776117
California,SOUTHERN CALIFORNIA,Santa Barbara,13,73.2,CA,34.537378,–120.038485
California,SOUTHERN CALIFORNIA,Ventura,34,73.2,CA,34.358742,–119.133143
Colorado,EAST CENTRAL,Adams,20,76.9,CO,39.874325,–104.331872
Colorado,EAST CENTRAL,Arapahoe,17,76.9,CO,39.644632,–104.331733
Colorado,EAST CENTRAL,Denver,2,76.9,CO,39.761849,–104.880625
Colorado,EAST CENTRAL,Douglas,53,76.9,CO,39.326435,–104.926199
Colorado,EAST CENTRAL,El Paso,35,76.9,CO,38.827383,–104.527472
Colorado,EAST CENTRAL,Elbert,19,76.9,CO,39.310817,–104.117928
Colorado,EAST CENTRAL,Kit Carson,1,76.9,CO,39.30534,–102.603023
Colorado,EAST CENTRAL,Phillips,4,76.9,CO,40.594712,–102.345105
Colorado,EAST CENTRAL,Washington,5,76.9,CO,39.965413,–103.209605
Colorado,EAST CENTRAL,Yuma,2,76.9,CO,40.000631,–102.422649
Colorado,NORTHEAST,Boulder,78,76.9,CO,40.094826,–105.398382
Colorado,NORTHEAST,Jefferson,19,76.9,CO,39.58646,–105.245601
Colorado,NORTHEAST,Larimer,93,76.9,CO,40.663091,–105.482131
Colorado,NORTHEAST,Logan,3,76.9,CO,40.728091,–103.090464
Colorado,NORTHEAST,Morgan,3,76.9,CO,40.262354,–103.807092
Colorado,NORTHEAST,Sedgwick,2,76.9,CO,40.871568,–102.355358
Colorado,NORTHEAST,Weld,74,76.9,CO,40.555794,–104.383649
Colorado,NORTHWEST AND MOUNTAIN,Chaffee,6,76.9,CO,38.738246,–106.316972
Colorado,NORTHWEST AND MOUNTAIN,Clear Creek,2,76.9,CO,39.689403,–105.670791
Colorado,NORTHWEST AND MOUNTAIN,Eagle,6,76.9,CO,39.630638,–106.692944
Colorado,NORTHWEST AND MOUNTAIN,Grand,3,76.9,CO,40.123289,–106.095876
Colorado,NORTHWEST AND MOUNTAIN,Moffat,2,76.9,CO,40.573984,–108.204521
Colorado,NORTHWEST AND MOUNTAIN,Park,1,76.9,CO,39.118914,–105.717648
Colorado,NORTHWEST AND MOUNTAIN,Pitkin,7,76.9,CO,39.217533,–106.915943
Colorado,NORTHWEST AND MOUNTAIN,Rio Blanco,5,76.9,CO,39.972606,–108.200685
Colorado,NORTHWEST AND MOUNTAIN,Routt,19,76.9,CO,40.48316,–106.985289
Colorado,NORTHWEST AND MOUNTAIN,Teller,4,76.9,CO,38.871994,–105.182552
Colorado,SAN LUIS VALLEY,Alamosa,3,76.9,CO,37.568442,–105.788041
Colorado,SAN LUIS VALLEY,Conejos,2,76.9,CO,37.213407,–106.176447
Colorado,SAN LUIS VALLEY,Rio Grande,5,76.9,CO,37.485763,–106.453214
Colorado,SAN LUIS VALLEY,Saguache,2,76.9,CO,38.033952,–106.246675
Colorado,SOUTHEAST,Baca,2,76.9,CO,37.303144,–102.535457
Colorado,SOUTHEAST,Bent,1,76.9,CO,37.931891,–103.077584
Colorado,SOUTHEAST,Crowley,2,76.9,CO,38.321956,–103.787562
Colorado,SOUTHEAST,Custer,12,76.9,CO,38.101994,–105.373515
Colorado,SOUTHEAST,Fremont,22,76.9,CO,38.455658,–105.421438
Colorado,SOUTHEAST,Huerfano,8,76.9,CO,37.687815,–104.959928
Colorado,SOUTHEAST,Las Animas,3,76.9,CO,37.318831,–104.044110
Colorado,SOUTHEAST,Otero,1,76.9,CO,37.88417,–103.721260
Colorado,SOUTHEAST,Pueblo,5,76.9,CO,38.170658,–104.489893
Colorado,SOUTHWEST,Archuleta,2,76.9,CO,37.202395,–107.050863
Colorado,SOUTHWEST,Delta,19,76.9,CO,38.861756,–107.864757
Colorado,SOUTHWEST,Garfield,19,76.9,CO,39.599352,–107.909780
Colorado,SOUTHWEST,La Plata,24,76.9,CO,37.287367,–107.839718
Colorado,SOUTHWEST,Mesa,54,76.9,CO,39.019492,–108.461837
Colorado,SOUTHWEST,Montezuma,5,76.9,CO,37.338025,–108.595786
Colorado,SOUTHWEST,Montrose,21,76.9,CO,38.413427,–108.263042
Colorado,SOUTHWEST,Ouray,1,76.9,CO,38.1506,–107.767133
Connecticut,ALL COUNTIES,Fairfield,31,99.95,CT,41.228103,–73.366757
Connecticut,ALL COUNTIES,Hartford,46,99.95,CT,41.806053,–72.732916
Connecticut,ALL COUNTIES,Litchfield,83,99.95,CT,41.791897,–73.235428
Connecticut,ALL COUNTIES,Middlesex,24,99.95,CT,41.434525,–72.524227
Connecticut,ALL COUNTIES,New Haven,43,99.95,CT,41.349717,–72.900204
Connecticut,ALL COUNTIES,New London,38,99.95,CT,41.47863,–72.103452
Connecticut,ALL COUNTIES,Tolland,28,99.95,CT,41.858076,–72.340977
Connecticut,ALL COUNTIES,Windham,27,99.95,CT,41.824999,–71.990702
Delaware,CENTRAL,Kent,11,99.95,DE,39.097088,–75.502982
Delaware,NORTHERN,New Castle,17,99.95,DE,39.575915,–75.644132
Delaware,SOUTHERN,Sussex,10,99.95,DE,38.677511,–75.335495
Florida,CENTRAL,Alachua,65,99.95,FL,29.67574,–82.357221
Florida,CENTRAL,Bradford,10,99.95,FL,29.946934,–82.166796
Florida,CENTRAL,Citrus,14,99.95,FL,28.843628,–82.524796
Florida,CENTRAL,Clay,19,99.95,FL,29.987116,–81.858147
Florida,CENTRAL,Flagler,1,99.95,FL,29.474894,–81.286362
Florida,CENTRAL,Gilchrist,7,99.95,FL,29.723456,–82.795801
Florida,CENTRAL,Hernando,11,99.95,FL,28.567911,–82.464835
Florida,CENTRAL,Hillsborough,47,99.95,FL,27.90659,–82.349568
Florida,CENTRAL,Lake,50,99.95,FL,28.764113,–81.712282
Florida,CENTRAL,Levy,20,99.95,FL,29.284409,–82.783483
Florida,CENTRAL,Marion,53,99.95,FL,29.202805,–82.043100
Florida,CENTRAL,Orange,36,99.95,FL,28.514435,–81.323295
Florida,CENTRAL,Osceola,26,99.95,FL,28.059027,–81.139312
Florida,CENTRAL,Pasco,36,99.95,FL,28.302024,–82.455707
Florida,CENTRAL,Pinellas,42,99.95,FL,27.903122,–82.739518
Florida,CENTRAL,Polk,72,99.95,FL,27.953115,–81.692783
Florida,CENTRAL,Putnam,10,99.95,FL,29.606006,–81.740894
Florida,CENTRAL,Seminole,25,99.95,FL,28.690079,–81.131980
Florida,CENTRAL,St. Johns,13,99.95,FL,29.890593,–81.383914
Florida,CENTRAL,Sumter,5,99.95,FL,28.714294,–82.074715
Florida,CENTRAL,Union,11,99.95,FL,30.05428,–82.366918
Florida,CENTRAL,Volusia,33,99.95,FL,29.057617,–81.161813
Florida,NORTHEAST,Baker,12,99.95,FL,30.324442,–82.302284
Florida,NORTHEAST,Columbia,7,99.95,FL,30.221305,–82.623127
Florida,NORTHEAST,Dixie,4,99.95,FL,29.580899,–83.195666
Florida,NORTHEAST,Duval,28,99.95,FL,30.335245,–81.648113
Florida,NORTHEAST,Hamilton,8,99.95,FL,30.491102,–82.951049
Florida,NORTHEAST,Lafayette,1,99.95,FL,29.990066,–83.178510
Florida,NORTHEAST,Madison,4,99.95,FL,30.447228,–83.470437
Florida,NORTHEAST,Nassau,14,99.95,FL,30.605926,–81.764929
Florida,NORTHEAST,Suwannee,19,99.95,FL,30.189244,–82.992754
Florida,NORTHEAST,Taylor,14,99.95,FL,30.016943,–83.616417
Florida,NORTHWEST,Bay,37,99.95,FL,30.237563,–85.631348
Florida,NORTHWEST,Calhoun,19,99.95,FL,30.388801,–85.197916
Florida,NORTHWEST,Escambia,42,99.95,FL,30.611664,–87.339040
Florida,NORTHWEST,Franklin,5,99.95,FL,29.810176,–84.799174
Florida,NORTHWEST,Gadsden,26,99.95,FL,30.57917,–84.612783
Florida,NORTHWEST,Gulf,7,99.95,FL,29.907257,–85.256537
Florida,NORTHWEST,Holmes,11,99.95,FL,30.866222,–85.812959
Florida,NORTHWEST,Jackson,38,99.95,FL,30.787812,–85.210374
Florida,NORTHWEST,Jefferson,22,99.95,FL,30.424558,–83.890859
Florida,NORTHWEST,Leon,20,99.95,FL,30.45931,–84.277800
Florida,NORTHWEST,Liberty,21,99.95,FL,30.259849,–84.868581
Florida,NORTHWEST,Okaloosa,47,99.95,FL,30.665858,–86.594194
Florida,NORTHWEST,Santa Rosa,45,99.95,FL,30.703633,–87.014255
Florida,NORTHWEST,Wakulla,17,99.95,FL,30.140378,–84.375136
Florida,NORTHWEST,Walton,21,99.95,FL,30.631211,–86.176614
Florida,NORTHWEST,Washington,26,99.95,FL,30.602217,–85.662797
Florida,SOUTHERN,Brevard,22,99.95,FL,28.298276,–80.700384
Florida,SOUTHERN,Broward,24,99.95,FL,26.19352,–80.476658
Florida,SOUTHERN,Charlotte,11,99.95,FL,26.868826,–81.940858
Florida,SOUTHERN,Collier,18,99.95,FL,26.118713,–81.400884
Florida,SOUTHERN,Desoto,12,99.95,FL,27.190581,–81.806253
Florida,SOUTHERN,Glades,9,99.95,FL,26.95481,–81.190820
Florida,SOUTHERN,Hardee,6,99.95,FL,27.492846,–81.821580
Florida,SOUTHERN,Hendry,16,99.95,FL,26.53934,–81.151584
Florida,SOUTHERN,Highlands,19,99.95,FL,27.342627,–81.340921
Florida,SOUTHERN,Indian River,15,99.95,FL,27.700638,–80.574803
Florida,SOUTHERN,Lee,38,99.95,FL,26.552134,–81.892250
Florida,SOUTHERN,Manatee,26,99.95,FL,27.481386,–82.365784
Florida,SOUTHERN,Martin,18,99.95,FL,27.079954,–80.398211
Florida,SOUTHERN,Miami-Dade,78,99.95,FL,25.610494,–80.499045
Florida,SOUTHERN,Monroe,12,99.95,FL,25.601043,–81.206777
Florida,SOUTHERN,Okeechobee,2,99.95,FL,27.385592,–80.887388
Florida,SOUTHERN,Palm Beach,47,99.95,FL,26.645763,–80.448673
Florida,SOUTHERN,Sarasota,13,99.95,FL,27.184386,–82.365835
Florida,SOUTHERN,St. Lucie,6,99.95,FL,27.380775,–80.443364
Georgia,CENTRAL,Baldwin,2,99.95,GA,33.059532,–83.255362
Georgia,CENTRAL,Bibb,1,99.95,GA,32.808844,–83.694193
Georgia,CENTRAL,Bleckley,1,99.95,GA,32.435403,–83.331717
Georgia,CENTRAL,Butts,3,99.95,GA,33.290355,–83.958221
Georgia,CENTRAL,Crawford,2,99.95,GA,32.709446,–83.979182
Georgia,CENTRAL,Dodge,4,99.95,GA,32.160656,–83.156818
Georgia,CENTRAL,Greene,9,99.95,GA,33.576836,–83.167103
Georgia,CENTRAL,Hancock,5,99.95,GA,33.26922,–83.000465
Georgia,CENTRAL,Houston,3,99.95,GA,32.458381,–83.662856
Georgia,CENTRAL,Jasper,5,99.95,GA,33.314905,–83.687892
Georgia,CENTRAL,Jones,3,99.95,GA,33.020226,–83.562339
Georgia,CENTRAL,Laurens,6,99.95,GA,32.39322,–82.926317
Georgia,CENTRAL,Monroe,11,99.95,GA,33.017435,–83.922938
Georgia,CENTRAL,Morgan,8,99.95,GA,33.593732,–83.492324
Georgia,CENTRAL,Newton,6,99.95,GA,33.544046,–83.855189
Georgia,CENTRAL,Peach,9,99.95,GA,32.571324,–83.831978
