year,state,chemical_type,chemical_name,chem_app(lbs),lb/acre/app(avg),lb/acre/yr(avg),num_app(avg),pct_area_treated(avg)
2019,Other States,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (POTASSIUM BICARBON. = 73508)","13,100",2.162,2.901,1.3,2
2019,Other States,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (PROPICONAZOLE = 122101)",100,0.237,0.327,1.4,0
2019,Other States,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (PYRACLOSTROBIN = 99100)","15,500",0.1,0.18,1.8,31
2019,Other States,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (PYRIMETHANIL = 288201)","6,400",0.281,0.4,1.4,6
2019,Other States,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (STREPTOMYCIN SULFATE = 6310)","40,500",0.311,0.546,1.8,26
2019,Other States,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (SULFUR = 77501)","991,300",7.177,11.141,1.6,32
2019,Other States,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TEBUCONAZOLE = 128997)",300,0.162,0.332,2.1,0
2019,Other States,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (THIOPHANATE-METHYL = 102001)","42,900",0.52,1.058,2,14
2019,Other States,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TRIFLOXYSTROBIN = 129112)","16,200",0.08,0.126,1.6,46
2019,Other States,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TRIFLUMIZOLE = 128879)","24,300",0.405,0.576,1.4,15
2019,Other States,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (ZIRAM = 34805)","155,800",3.053,5.644,1.8,10
2019,Other States,"CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (2,4-D = 30001)","1,700",0.656,0.875,1.3,1
2019,Other States,"CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (2,4-D, DIETH. SALT = 30016)",300,0.488,0.49,1,0
2019,Other States,"CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (2,4-D, DIMETH. SALT = 30019)","21,900",0.837,1.135,1.4,7
2019,Other States,"CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (CARFENTRAZONE-ETHYL = 128712)",300,0.023,0.029,1.3,4
2019,Other States,"CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (CLETHODIM = 121011)","7,400",2.27,3.228,1.4,1
2019,Other States,"CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (CLOPYRALID MONO SALT = 117401)",500,0.223,0.236,1.1,1
2019,Other States,"CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (DIURON = 35505)","23,500",1.594,1.694,1.1,5
2019,Other States,"CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (FLUMIOXAZIN = 129034)",400,0.21,0.227,1.1,1
2019,Other States,"CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (GLUFOSINATE-AMMONIUM = 128850)","24,200",0.977,1.084,1.1,8
2019,Other States,"CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (GLYPHOSATE = 417300)","5,500",1.104,1.189,1.1,2
2019,Other States,"CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (GLYPHOSATE AMM. SALT = 103604)","1,100",0.149,0.175,1.2,2
2019,Other States,"CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (GLYPHOSATE ISO. SALT = 103601)","65,500",1.398,1.808,1.3,13
2019,Other States,"CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (GLYPHOSATE POT. SALT = 103613)","5,600",1.214,1.468,1.2,1
2019,Other States,"CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (ISOXABEN = 125851)","2,200",0.751,0.853,1.1,1
2019,Other States,"CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (NORFLURAZON = 105801)","4,200",1.73,1.73,1,1
2019,Other States,"CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (ORYZALIN = 104201)","24,500",2.779,3.064,1.1,3
2019,Other States,"CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (OXYFLUORFEN = 111601)","7,700",0.828,0.931,1.1,3
2019,Other States,"CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PARAQUAT = 61601)","56,200",0.87,1.078,1.2,18
2019,Other States,"CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PENDIMETHALIN = 108501)","37,900",1.889,2.057,1.1,7
2019,Other States,"CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PYRAFLUFEN-ETHYL = 30090)",200,0.005,0.005,1.1,13
2019,Other States,"CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (RIMSULFURON = 129009)","2,200",0.055,0.056,1,14
2019,Other States,"CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (SAFLUFENACIL = 118203)",100,0.043,0.055,1.3,1
2019,Other States,"CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (SETHOXYDIM = 121001)",500,0.381,0.388,1,0
2019,Other States,"CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (SIMAZINE = 80807)","11,700",1.618,1.914,1.2,2
2019,Other States,"CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (SULFENTRAZONE = 129081)",300,0.424,0.63,1.5,0
2019,Other States,"CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (TERBACIL = 12701)","10,000",0.95,0.96,1,4
2019,Other States,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (ABAMECTIN = 122804)","1,300",0.017,0.02,1.2,23
2019,Other States,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (ACETAMIPRID = 99050)","28,700",0.122,0.231,1.9,44
2019,Other States,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (AZADIRACHTIN = 121701)",200,0.026,0.036,1.4,2
2019,Other States,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BETA-CYFLUTHRIN = 118831)",200,0.02,0.023,1.1,3
2019,Other States,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BIFENAZATE = 586)","4,800",0.485,0.557,1.1,3
2019,Other States,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BIFENTHRIN = 128825)",100,0.08,0.131,1.7,0
2019,Other States,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BUPROFEZIN = 275100)","4,700",1.112,1.372,1.2,1
2019,Other States,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CARBARYL = 56801)","236,400",1.346,1.794,1.3,47
2019,Other States,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CHLORANTRANILIPROLE = 90100)","20,200",0.081,0.12,1.5,60
2019,Other States,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CHLORPYRIFOS = 59101)","168,700",1.716,1.846,1.1,32
2019,Other States,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CLOFENTEZINE = 125501)",100,0.189,0.262,1.4,0
2019,Other States,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CLOTHIANIDIN = 44309)","2,500",0.096,0.149,1.5,6
2019,Other States,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CYANTRANILIPROLE = 90098)","2,000",0.112,0.127,1.1,6
2019,Other States,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CYFLUMETOFEN = 138831)","3,000",0.173,0.191,1.1,6
2019,Other States,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CYFLUTHRIN = 128831)",500,0.041,0.044,1.1,4
2019,Other States,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (DIAZINON = 57801)","32,300",1.559,1.856,1.2,6
2019,Other States,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (DINOTEFURAN = 44312)",0,0.17,0.183,1.1,0
2019,Other States,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (EMAMECTIN BENZOATE = 122806)","1,100",0.014,0.017,1.3,24
2019,Other States,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (ESFENVALERATE = 109303)",300,0.051,0.066,1.3,2
2019,Other States,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (ETHYL (2E;4Z)-DECADIENOATE = 144022)",0,0,0.001,2,13
2019,Other States,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (ETOXAZOLE = 107091)",300,0.105,0.111,1.1,1
2019,Other States,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (FENBUTATIN-OXIDE = 104601)","1,900",0.972,1.035,1.1,1
2019,Other States,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (FENPROPATHRIN = 127901)","1,900",0.215,0.384,1.8,2
2019,Other States,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (FENPYROXIMATE = 129131)",200,0.069,0.084,1.2,1
2019,Other States,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (FLONICAMID = 128016)",900,0.166,0.23,1.4,1
2019,Other States,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (FLUBENDIAMIDE = 27602)",200,0.107,0.152,1.4,0
2019,Other States,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (FLUPYRADIFURONE = 122304)",400,0.123,0.173,1.4,1
2019,Other States,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (HEXYTHIAZOX = 128849)",200,0.155,0.164,1.1,0
2019,Other States,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (IMIDACLOPRID = 129099)","17,100",0.092,0.151,1.6,40
2019,Other States,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (INDOXACARB = 67710)","2,000",0.095,0.145,1.5,5
2019,Other States,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (KAOLIN = 100104)","330,500",37.349,42.498,1.1,3
2019,Other States,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (LAMBDA-CYHALOTHRIN = 128897)","4,800",0.036,0.072,2,24
2019,Other States,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (MALATHION = 57701)","3,500",1.119,2.351,2.1,1
2019,Other States,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (METHOMYL = 90301)","1,900",0.884,1.395,1.6,0
2019,Other States,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (METHOXYFENOZIDE = 121027)","3,700",0.203,0.315,1.6,4
2019,Other States,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (NOVALURON = 124002)","5,000",0.173,0.247,1.4,7
2019,Other States,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (PERMETHRIN = 109701)",800,0.168,0.207,1.2,1
2019,Other States,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (PETROLEUM DISTILLATE = 63503)","37,800",6.168,8.342,1.4,2
2019,Other States,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (PHOSMET = 59201)","122,600",2.143,3.719,1.7,12
2019,Other States,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (POTASSIUM SALTS = 79021)",600,1.052,1.056,1,0
2019,Other States,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (PYRETHRINS = 69001)",100,0.044,0.051,1.1,1
2019,Other States,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (PYRIDABEN = 129105)","2,500",0.394,0.413,1,2
2019,Other States,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (PYRIPROXYFEN = 129032)","5,700",0.103,0.129,1.3,16
2019,Other States,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (SPINETORAM = 110007)","18,600",0.093,0.13,1.4,51
2019,Other States,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (SPINOSAD = 110003)","5,200",0.112,0.148,1.3,12
2019,Other States,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (SPIROTETRAMAT = 392201)","8,000",0.125,0.215,1.7,13
2019,Other States,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (SULFOXAFLOR = 5210)",200,0.054,0.057,1.1,1
2019,Other States,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (THIAMETHOXAM = 60109)","3,700",0.061,0.091,1.5,14
2019,Other States,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (ZETA-CYPERMETHRIN = 129064)",300,0.024,0.029,1.2,4
2019,Other States,"CHEMICAL, OTHER","CHEMICAL, OTHER: (ACIBENZOLAR-S-METHYL = 61402)","2,900",0.061,0.093,1.5,11
2019,Other States,"CHEMICAL, OTHER","CHEMICAL, OTHER: (BENZYLADENINE = 116901)","4,000",0.049,0.055,1.1,26
2019,Other States,"CHEMICAL, OTHER","CHEMICAL, OTHER: (BUTENOIC ACID HYDRO. = 129104)","2,900",0.075,0.088,1.2,12
2019,Other States,"CHEMICAL, OTHER","CHEMICAL, OTHER: (CAPRIC ACID = 128955)","16,700",11.989,14.335,1.2,0
2019,Other States,"CHEMICAL, OTHER","CHEMICAL, OTHER: (CAPRYLIC ACID = 128919)","24,500",17.631,21.081,1.2,0
2019,Other States,"CHEMICAL, OTHER","CHEMICAL, OTHER: (CHLOROPHACINONE = 67707)",0,0,0,1,4
2019,Other States,"CHEMICAL, OTHER","CHEMICAL, OTHER: (CYCLOPROPENE,1-METHY = 224459)",0,0.012,0.013,1.1,1
2019,Other States,"CHEMICAL, OTHER","CHEMICAL, OTHER: (CYTOKININS = 116801)",0,0,0,1.2,8
2019,Other States,"CHEMICAL, OTHER","CHEMICAL, OTHER: (DIPHACINONE = 67701)",0,0,0,1,0
2019,Other States,"CHEMICAL, OTHER","CHEMICAL, OTHER: (DODECADIEN-1-OL = 129028)","2,500",0.048,0.052,1.1,17
2019,Other States,"CHEMICAL, OTHER","CHEMICAL, OTHER: (DODECANOL = 1509)",900,0.03,0.032,1,10
2019,Other States,"CHEMICAL, OTHER","CHEMICAL, OTHER: (E-8-DODECENYL ACETAT = 128907)",0,0.004,0.004,1.1,2
2019,Other States,"CHEMICAL, OTHER","CHEMICAL, OTHER: (ETHEPHON = 99801)","30,600",0.513,0.663,1.3,16
2019,Other States,"CHEMICAL, OTHER","CHEMICAL, OTHER: (FLUTRIAFOL = 128940)","13,300",0.092,0.124,1.4,38
2019,Other States,"CHEMICAL, OTHER","CHEMICAL, OTHER: (GIBBERELLINS A4A7 = 116902)","2,400",0.02,0.027,1.4,32
2019,Other States,"CHEMICAL, OTHER","CHEMICAL, OTHER: (HARPIN A B PROTEIN = 6506)",0,0.002,0.002,1.1,1
2019,Other States,"CHEMICAL, OTHER","CHEMICAL, OTHER: (HYDROGEN PEROXIDE = 595)","5,700",1.436,4.095,2.9,0
2019,Other States,"CHEMICAL, OTHER","CHEMICAL, OTHER: (INDAZIFLAM = 80818)","1,000",0.047,0.05,1.1,7
2019,Other States,"CHEMICAL, OTHER","CHEMICAL, OTHER: (INDOLEBUTYRIC ACID = 46701)",0,0.001,0.002,1,2
2019,Other States,"CHEMICAL, OTHER","CHEMICAL, OTHER: (MINERAL OIL = 63502)","7,036,100",13.405,38.698,2.9,64
2019,Other States,"CHEMICAL, OTHER","CHEMICAL, OTHER: (NAA = 56002)",0,0,0.001,2.4,6
2019,Other States,"CHEMICAL, OTHER","CHEMICAL, OTHER: (NAA, POTASSIUM SALT = 56003)","2,100",0.033,0.038,1.2,20
2019,Other States,"CHEMICAL, OTHER","CHEMICAL, OTHER: (NAA, SODIUM = 56007)",400,0.009,0.014,1.6,9
2019,Other States,"CHEMICAL, OTHER","CHEMICAL, OTHER: (NAD = 56001)",600,0.058,0.071,1.2,3
2019,Other States,"CHEMICAL, OTHER","CHEMICAL, OTHER: (OXYTETRACYCLINE HYDROCHLORIDE = 6308)","21,300",0.22,0.337,1.5,22
2019,Other States,"CHEMICAL, OTHER","CHEMICAL, OTHER: (PEROXYACETIC ACID = 63201)",900,0.237,0.68,2.9,0
2019,Other States,"CHEMICAL, OTHER","CHEMICAL, OTHER: (PROHEXADIONE CALCIUM = 112600)","27,000",0.22,0.335,1.5,29
2019,Other States,"CHEMICAL, OTHER","CHEMICAL, OTHER: (PROHYDROJASMON = 28000)",0,0.124,0.124,1,0
2019,Other States,"CHEMICAL, OTHER","CHEMICAL, OTHER: (REYNOUTRIA SACHALINE = 55809)","1,600",0.186,0.263,1.4,2
2019,Other States,"CHEMICAL, OTHER","CHEMICAL, OTHER: (SPIRODICLOFEN = 124871)","8,100",0.278,0.333,1.2,9
2019,Other States,"CHEMICAL, OTHER","CHEMICAL, OTHER: (STRYCHNINE = 76901)",0,0.011,0.011,1,1
2019,Other States,"CHEMICAL, OTHER","CHEMICAL, OTHER: (TETRADECANOL = 1510)",200,0.007,0.007,1,10
2019,Other States,"CHEMICAL, OTHER","CHEMICAL, OTHER: (TETRADECEN-1-OL (Z) = 128980)",300,0.045,0.049,1.1,2
2019,Other States,"CHEMICAL, OTHER","CHEMICAL, OTHER: (Z-11-TETRADECENAL = 120011)",0,0.002,0.002,1,1
2019,Other States,"CHEMICAL, OTHER","CHEMICAL, OTHER: (Z-11-TETRADECENOL = 129021)",0,0.002,0.002,1,1
2019,Other States,"CHEMICAL, OTHER","CHEMICAL, OTHER: (Z-8-DODECANOL = 128908)",0,0.001,0.001,1.1,2
2019,Other States,"CHEMICAL, OTHER","CHEMICAL, OTHER: (Z-8-DODECEN ACETATE = 128906)",100,0.027,0.03,1.1,2
2019,Other States,"CHEMICAL, OTHER","CHEMICAL, OTHER: (Z-9-TETRADECEN-1-YL ACETATE = 129109)",0,0.011,0.011,1,1
2019,Other States,"CHEMICAL, OTHER","CHEMICAL, OTHER: (ZINC PHOSPHIDE = 88601)","1,300",0.174,0.193,1.1,2
2019,California,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CALCIUM POLYSULFIDE = 76702)","52,100",7.83,17.101,2.2,24
2019,California,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (COPPER CHLORIDE HYD. = 23501)","1,100",0.531,0.797,1.5,11
2019,California,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (COPPER HYDROXIDE = 23401)","2,100",0.787,1.122,1.4,15
2019,California,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CYPRODINIL = 288202)",300,0.209,0.245,1.2,11
2019,California,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (KRESOXIM-METHYL = 129111)",200,0.193,0.307,1.6,6
2019,California,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (MANCOZEB = 14504)","11,800",2.178,3.747,1.7,25
2019,California,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (MYCLOBUTANIL = 128857)",800,0.143,0.225,1.6,28
2019,California,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (OXYTETRACYCLINE CALC = 6321)",200,0.171,0.315,1.8,5
2019,California,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (STREPTOMYCIN SULFATE = 6310)","8,100",1.114,2.364,2.1,28
2019,California,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (SULFUR = 77501)","53,500",6.735,15.837,2.4,27
2019,California,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TRIFLOXYSTROBIN = 129112)",200,0.08,0.108,1.4,11
2019,California,"CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TRIFLUMIZOLE = 128879)",400,0.457,0.693,1.5,5
2019,California,"CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (GLUFOSINATE-AMMONIUM = 128850)","2,100",1.171,1.331,1.1,13
2019,California,"CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (GLYPHOSATE ISO. SALT = 103601)",900,1.062,1.233,1.2,6
2019,California,"CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (GLYPHOSATE POT. SALT = 103613)","2,000",1.574,2.454,1.6,6
2019,California,"CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (ORYZALIN = 104201)",500,2.99,3.127,1,1
2019,California,"CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (OXYFLUORFEN = 111601)",500,0.53,0.682,1.3,6
2019,California,"CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PARAQUAT = 61601)",800,0.962,1.055,1.1,6
2019,California,"CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (RIMSULFURON = 129009)",0,0.044,0.046,1.1,4
2019,California,"CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (SAFLUFENACIL = 118203)",0,0.043,0.052,1.2,6
2019,California,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (ABAMECTIN = 122804)",0,0.017,0.02,1.2,17
2019,California,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (ACETAMIPRID = 99050)",300,0.124,0.155,1.2,17
2019,California,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BIFENAZATE = 586)",600,0.505,0.684,1.4,7
2019,California,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CARBARYL = 56801)","2,500",1.312,1.502,1.1,13
2019,California,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CHLORANTRANILIPROLE = 90100)",400,0.096,0.127,1.3,26
2019,California,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (DIAZINON = 57801)","3,000",1.977,2.689,1.4,9
2019,California,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (FENPROPATHRIN = 127901)",600,0.291,0.399,1.4,13
2019,California,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (IMIDACLOPRID = 129099)",100,0.089,0.153,1.7,6
2019,California,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (KAOLIN = 100104)","71,500",34.947,37.451,1.1,15
2019,California,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (LAMBDA-CYHALOTHRIN = 128897)",100,0.039,0.067,1.7,16
2019,California,"CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (METHOXYFENOZIDE = 121027)",700,0.242,0.33,1.4,16
