,Carpenter,Bumble,Honey,Small,Wasps,Flies,Butterflies,Other,#Insects,#Counts
Harris,66,88,82,272,210,295,623,645,2281,67
Hart,36,2,12,16,77,34,37,29,243,10
Heard,12,2,0,0,0,0,2,0,16,2
Henry,12,24,14,47,32,35,213,74,451,28
Houston,48,94,63,185,146,175,146,180,1037,51
Irwin,0,0,0,0,1,3,5,1,10,1
Jackson,85,62,5,146,303,178,307,69,1155,26
Jasper,16,24,19,30,18,42,77,67,293,9
Jeff Davis,0,4,0,4,2,4,6,12,32,4
Jenkins,5,8,21,33,23,18,25,37,170,10
Jones,1,12,1,166,68,49,241,101,639,6
Lamar,7,48,6,207,58,76,184,31,617,21
Laurens,2,14,0,18,71,71,35,78,289,9
Lee,20,18,164,27,35,45,78,125,512,20
Liberty,23,11,13,47,8,51,5,105,263,18
Lincoln,0,0,0,0,0,0,0,40,40,1
Long,0,0,0,1,0,0,0,1,2,1
Lowndes,22,41,54,103,60,43,90,100,513,25
Lumpkin,177,348,115,194,146,266,477,438,2161,113
Macon,8,20,14,22,36,36,161,49,346,21
Madison,5,11,13,35,43,45,40,49,241,8
Marion,0,5,11,7,10,11,70,8,122,6
McDuffie,0,4,5,8,21,16,35,20,109,4
McIntosh,4,8,5,22,5,3,33,21,101,11
Meriwether,13,14,8,13,5,12,32,11,108,4
Mitchell,3,5,9,10,2,4,25,2,60,6
Monroe,8,4,0,6,17,11,32,9,87,9
Morgan,16,11,20,52,45,54,92,40,330,17
Muscogee,20,18,15,36,13,10,13,20,145,7
Newton,28,103,63,170,85,143,309,263,1164,54
Oconee,84,192,166,477,586,379,478,411,2773,98
Oglethorpe,10,87,195,229,152,169,304,247,1393,19
Paulding,78,87,31,79,77,145,241,163,901,38
Peach,0,3,5,1,3,15,44,155,226,5
Pickens,21,35,7,13,31,13,91,15,226,7
Pierce,0,0,3,1,7,6,0,20,37,2
Pike,19,30,8,28,5,55,59,72,276,13
Polk,0,14,0,5,2,2,0,1,24,2
Pulaski,8,5,0,8,1,16,60,6,104,2
Putnam,37,26,25,39,20,23,50,18,238,7
Rabun,8,83,70,79,31,27,144,135,577,34
Randolph,3,26,9,20,28,16,75,15,192,15
Richmond,165,525,214,351,232,336,179,274,2276,98
Rockdale,96,76,40,118,334,90,547,60,1361,29
Schley,0,2,0,4,2,1,13,1,23,2
Screven,5,53,3,46,66,40,108,70,391,11
Seminole,0,0,5,7,3,8,8,3,34,2
Spalding,22,24,4,260,176,140,133,86,845,30
Stephens,9,10,3,20,7,17,16,18,100,7
Sumter,3,33,15,28,15,47,113,96,350,24
Talbot,1,1,0,0,0,0,2,1,5,1
Taliaferro,0,3,0,0,0,4,1,3,11,1
Taylor,8,11,9,5,11,0,134,6,184,9
Terrell,75,12,47,23,26,18,9,26,236,4
Thomas,18,114,58,292,260,338,521,444,2045,84
Tift,4,49,40,95,235,98,60,118,699,36
Toombs,0,0,0,6,2,6,4,5,23,1
Towns,34,167,72,212,77,80,279,97,1018,26
Troup,10,4,0,32,29,29,136,39,279,15
Twiggs,0,0,0,0,0,0,0,1,1,27
Union,179,371,122,854,345,177,415,139,2602,47
Upson,77,144,16,311,146,49,570,81,1394,49
Walker,0,4,1,83,12,16,44,19,179,11
Walton,186,171,43,436,501,262,486,313,2398,54
Ware,0,1,0,2,18,13,0,9,43,4
Warren,1,2,0,3,5,6,18,9,44,4
Washington,0,0,3,12,0,2,7,2,26,4
Wayne,17,50,89,40,63,89,99,63,510,25
White,5,20,18,58,40,14,27,27,209,10
Whitfield,0,2,2,6,1,10,12,4,37,4
Wilcox,9,2,0,11,12,10,25,31,100,7
Wilkes,2,3,1,28,24,48,32,11,149,26
Worth,4,14,9,131,32,14,83,28,315,9
,,,,,,,,,,
,,,,,,,,,,
"Griffin, B., LaTora, A.G., Bhattarai, U., & Braman, S.K. (2021) Knowledge Gleaned From the First Great Georgia Pollinator Census. Journal of Entomological Science.  Accepted for printing in 2021.",,,,,,,,,,
